              Y_h1             Y_he4             Y_c12             Y_c13             Y_n13             Y_n14             Y_n15             Y_o14             Y_o15             E_nuc              Time
     7.12763972727480E-01     2.70825413571540E-01     1.07745337749805E-09     2.83673922972299E-16     9.53811966467973E-10     7.62122154398195E-09     2.59963875274978E-13     8.81741987416165E-05     1.52357148511248E-04     1.72181356187944E+16     6.50000000000000E+02
     7.12729346975045E-01     2.70834069857442E-01     1.07750997034057E-09     2.83702605015108E-16     9.53862065094093E-10     7.62153983441540E-09     2.59977529762726E-13     8.81735976824076E-05     1.52357749145461E-04     1.74544697344970E+16     6.60000000000000E+02
     7.12694721183277E-01     2.70842726175308E-01     1.07756595159411E-09     2.83731128823947E-16     9.53911622304829E-10     7.62186569928226E-09     2.59991036691151E-13     8.81730838643634E-05     1.52358262532089E-04     1.76908036436677E+16     6.70000000000000E+02
     7.12660095366302E-01     2.70851382515832E-01     1.07762150033532E-09     2.83759541465080E-16     9.53960796631574E-10     7.62219694923825E-09     2.60004439265830E-13     8.81726319044114E-05     1.52358714056054E-04     1.79271374756520E+16     6.80000000000000E+02
     7.12625469503738E-01     2.70860038888866E-01     1.07767642796240E-09     2.83787793556365E-16     9.54009421107136E-10     7.62253589058372E-09     2.60017691984136E-13     8.81722686743437E-05     1.52359076843615E-04     1.81634709491328E+16     6.90000000000000E+02
     7.12590843610516E-01     2.70868695284455E-01     1.07773092607652E-09     2.83815935459125E-16     9.54057665350633E-10     7.62288018084545E-09     2.60030841073386E-13     8.81719670163020E-05     1.52359378054611E-04     1.83998041971541E+16     7.00000000000000E+02
     7.12556217697177E-01     2.70877351694832E-01     1.07778514428424E-09     2.83844006528188E-16     9.54105661803998E-10     7.62322799105060E-09     2.60043922629083E-13     8.81717057476297E-05     1.52359638873246E-04     1.86361372937881E+16     7.10000000000000E+02
     7.12521591773271E-01     2.70886008112430E-01     1.07783922849029E-09     2.83872045160407E-16     9.54153539631762E-10     7.62357753753081E-09     2.60056971853688E-13     8.81714642217178E-05     1.52359879947636E-04     1.88724702917786E+16     7.20000000000000E+02
     7.12486965830471E-01     2.70894664543948E-01     1.07789304896794E-09     2.83900017050984E-16     9.54201183990527E-10     7.62393040627267E-09     2.60069957448234E-13     8.81712607141099E-05     1.52360083000897E-04     1.91088031496205E+16     7.30000000000000E+02
     7.12452339869533E-01     2.70903320988999E-01     1.07794661267581E-09     2.83927923898269E-16     9.54248601040189E-10     7.62428651224582E-09     2.60082881091725E-13     8.81710941718165E-05     1.52360249086091E-04     1.93451358785139E+16     7.40000000000000E+02
